机构名称,统一社会信用代码,Excel等级(原始),Excel等级(标准),DB等级,DB记录ID
嵊州市金庭镇东坑村（彦坑）卫生室,TE3306833300374310,未定级,无等级,未定级,54439.0
嵊州市金庭镇东林村社区卫生服务站,TE3306833300154090,未定级,无等级,未定级,54433.0
嵊州市金庭镇东风村(董坞岗)卫生室,TE3306833300374300,未定级,无等级,未定级,54436.0
嵊州市金庭镇东风村（鱼湖山）卫生室,TE3306833300166530,未定级,无等级,未定级,54437.0
嵊州市金庭镇北漳卫生院,1233068357931282XM,未定级,无等级,未定级,54432.0
嵊州市金庭镇北漳村（土块）卫生室,TE3306833300163930,未定级,无等级,未定级,54435.0
嵊州市金庭镇华堂村社区卫生服务站,TE3306833300150630,未定级,无等级,未定级,54568.0
嵊州市金庭镇卫生院,12330683669189810P,未定级,无等级,未定级,54403.0
嵊州市金庭镇后山村社区卫生服务站,TE3306833300176310,未定级,无等级,未定级,54569.0
嵊州市金庭镇小柏村社区卫生服务站,TE3306833300359900,未定级,无等级,未定级,54431.0
嵊州市金庭镇小柏村（翡翠湖）卫生室,TE3306833300373700,未定级,无等级,未定级,54438.0
嵊州市金庭镇济渡村社区卫生服务站,TE3306833300352340,未定级,无等级,未定级,54566.0
嵊州市金庭镇灵鹅村社区卫生服务站,TE3306833300162080,未定级,无等级,未定级,54567.0
嵊州市金庭镇金庭村卫生室,TE3306833300159990,未定级,无等级,未定级,54420.0
嵊州市金庭镇高龙村卫生室,TE3306833300154300,未定级,无等级,未定级,54565.0
嵊州市长乐中学医务室,TE3306833300157740,未定级,无等级,未定级,54514.0
嵊州市长乐镇东园村社区卫生服务站,TE3306833300159630,未定级,无等级,未定级,54524.0
嵊州市长乐镇中学卫生室,1233068375591429XJ,未定级,无等级,未定级,54413.0
嵊州市长乐镇中心卫生院,12330683471420167W,未定级,无等级,未定级,54408.0
嵊州市长乐镇中心小学卫生室,123306834714305176,未定级,无等级,未定级,54515.0
嵊州市长乐镇剡源村社区卫生服务站,TE3306833300156620,未定级,无等级,未定级,54530.0
嵊州市长乐镇南山湖村社区卫生服务站,TE3306833300170850,未定级,无等级,未定级,54528.0
嵊州市长乐镇坎流村卫生室,TE3306833300172900,未定级,无等级,未定级,54518.0
嵊州市长乐镇大昆村社区卫生服务站,TE3306833300156010,未定级,无等级,未定级,54532.0
嵊州市长乐镇太平村卫生室,TE3306833300167130,未定级,无等级,未定级,54417.0
嵊州市长乐镇太平村社区卫生服务站,TE3306833300164460,未定级,无等级,未定级,54523.0
嵊州市长乐镇小昆村卫生室,TE3306833300384210,未定级,无等级,未定级,54516.0
嵊州市长乐镇山口村社区卫生服务站,TE3306833300373410,未定级,无等级,未定级,54531.0
嵊州市长乐镇山贝村社区卫生服务站,TE3306833300160000,未定级,无等级,未定级,54526.0
嵊州市长乐镇岭丰村（深溪）卫生室,TE3306833300374320,未定级,无等级,未定级,54522.0
嵊州市长乐镇开元村社区卫生服务站,TE3306833300176160,未定级,无等级,未定级,54529.0
嵊州市长乐镇水竹村社区卫生服务站,TE3306833300157080,未定级,无等级,未定级,54525.0
嵊州市长乐镇石砩村卫生室,TE3306833300164390,未定级,无等级,未定级,54517.0
嵊州市长乐镇福全村（方口）社区卫生服务站,TE3306833300170610,未定级,无等级,未定级,54527.0
嵊州市长乐镇雅张村卫生室,TE3306833300160630,未定级,无等级,未定级,54419.0
嵊州市长乐镇鹿苑村卫生室,TE3306833300163320,未定级,无等级,未定级,54521.0
嵊州市马寅初中学医务室,TE3306833300151220,未定级,无等级,未定级,54701.0
嵊州市马寅初初级中学医务室,12330683777221670x,未定级,无等级,未定级,54765.0
嵊州市马寅初小学卫生室,12330683796481427L,未定级,无等级,未定级,54723.0
嵊州市高级中学医务室,TE3306833300494560,未定级,无等级,未定级,54390.0
嵊州市鹤年堂医药连锁有限公司城南药店中医诊所,TE3306833300498690,未定级,无等级,未定级,54761.0
嵊州市鹿山小学卫生室,TE3306833300521990,未定级,无等级,未定级,54576.0
嵊州市鹿山街道东南村社区卫生服务站,TE3306833300163390,未定级,无等级,未定级,54706.0
嵊州市鹿山街道东大湾村（东大湾）卫生室,TE3306833300167860,未定级,无等级,未定级,54716.0
嵊州市鹿山街道东大湾村（西大湾）卫生室,TE3306833300374530,未定级,无等级,未定级,54715.0
嵊州市鹿山街道捣臼爿村社区卫生服务站,TE3306833300157720,未定级,无等级,未定级,54708.0
嵊州市鹿山街道新市村社区卫生服务站,TE3306833300155210,未定级,无等级,未定级,54713.0
嵊州市鹿山街道新联村（马家）卫生室,TE3306833300161110,未定级,无等级,未定级,54424.0
嵊州市鹿山街道明月社区卫生服务站,TE3306833300691000,未定级,无等级,未定级,54749.0
嵊州市鹿山街道江夏村（新板头）社区卫生服务站,TE3306833300151630,未定级,无等级,未定级,54720.0
嵊州市鹿山街道江夏村（江夏）社区卫生服务站,TE3306833300156610,未定级,无等级,未定级,54721.0
嵊州市鹿山街道江燕村（下燕窠）卫生室,TE3306833300169930,未定级,无等级,未定级,54717.0
嵊州市鹿山街道江燕村（江东）卫生室,TE3306833300159020,未定级,无等级,未定级,54718.0
嵊州市鹿山街道浦桥村社区卫生服务站,TE3306833300176350,未定级,无等级,未定级,54710.0
嵊州市鹿山街道白沙地村（新大洋）卫生室,TE3306833300154930,未定级,无等级,未定级,54712.0
嵊州市鹿山街道白沙地村（白沙地）社区卫生服务站,TE3306833300176240,未定级,无等级,未定级,54709.0
嵊州市鹿山街道碧溪村（上碧溪）卫生室,TE3306833300154420,未定级,无等级,未定级,54719.0
嵊州市鹿山街道社区卫生服务中心,12330683794370600A,未定级,无等级,未定级,54714.0
嵊州市鹿山街道雅致村（外半塘）卫生室,TE3306833300338680,未定级,无等级,未定级,54711.0
嵊州市鹿山街道高版社区卫生服务站,TE3306833300153590,未定级,无等级,未定级,54707.0
嵊州市黄泽中学医务室,TE3306833300153770,未定级,无等级,未定级,54539.0
嵊州市黄泽镇中学医务室,TE3306833300176170,未定级,无等级,未定级,54542.0
嵊州市黄泽镇中心卫生院,12330683471420132A,未定级,无等级,未定级,54541.0
嵊州市黄泽镇中心小学卫生室,123306834714305251,未定级,无等级,未定级,54543.0
嵊州市黄泽镇前良村社区卫生服务站,TE3306833300157250,未定级,无等级,未定级,54556.0
嵊州市黄泽镇家园村卫生室,TE3306833300158660,未定级,无等级,未定级,54549.0
嵊州市黄泽镇明山村(横路)卫生室,TE3306833300166520,未定级,无等级,未定级,54547.0
嵊州市黄泽镇明山村（渔溪）社区卫生服务站,TE3306833300176510,未定级,无等级,未定级,54554.0
嵊州市黄泽镇溪北村（官地）社区卫生服务站,TE3306833300155780,未定级,无等级,未定级,54558.0
嵊州市黄泽镇溪北村（白泥塘)卫生室,TE3306833300377040,未定级,无等级,未定级,54548.0
嵊州市黄泽镇溪南村（湖头）社区卫生服务站,TE3306833300166170,未定级,无等级,未定级,54557.0
嵊州市黄泽镇甲青村社区卫生服务站,TE3306833300159440,未定级,无等级,未定级,54555.0
嵊州市黄泽镇白泥坎村卫生室,TE3306833300175300,未定级,无等级,未定级,54545.0
嵊州市黄泽镇联丰村（三王）卫生室,TE3306833300175450,未定级,无等级,未定级,54546.0
嵊州市黄泽镇联丰村（唐叶）卫生室,TE3306833300443370,未定级,无等级,未定级,54550.0
嵊州市黄泽镇许宅村卫生室,TE3306833300175090,未定级,无等级,未定级,54540.0
嵊州市黄泽镇许宅村社区卫生服务站,TE3306833300170730,未定级,无等级,未定级,54553.0
嵊州市黄泽镇青石桥村社区卫生服务站,TE3306833300160660,未定级,无等级,未定级,54552.0
嵊州市黄泽镇顺富村卫生室,TE3306833300173330,未定级,无等级,未定级,54544.0
嵊州市黄泽镇顺富村（兰洲）卫生室,TE3306833300174090,未定级,无等级,未定级,54551.0
嵊州康复护理医院,523306837964516238,未定级,无等级,未定级,54374.0
嵊州康寿护理院,91330683MA2JRWBM2E,未定级,无等级,未定级,54745.0
嵊州心康医院,52330683327904853W,未定级,无等级,未定级,54746.0
嵊州思迈尔口腔门诊部,91330683MA2BH8TA1L,未定级,无等级,未定级,54427.0
嵊州悦兰口腔门诊部,91330683MACEHL0T9N,未定级,无等级,未定级,54505.0
嵊州悦美口腔门诊部,91330683MA2D8DH77L,未定级,无等级,未定级,54400.0
嵊州数悦口腔门诊部,TE3306833300510430,未定级,无等级,未定级,54508.0
嵊州易心堂中医门诊部,91330683MA288U7X8X,未定级,无等级,未定级,54680.0
嵊州晨东口腔门诊部,91330683MAEJY0WU42,未定级,无等级,未定级,54617.0
嵊州普济中医诊所,91330683MADUTNJU5D,未定级,无等级,未定级,54764.0
嵊州杭成口腔门诊部,91330683MABPHQXL5N,未定级,无等级,未定级,54511.0
嵊州柏瑞口腔门诊部,91330683MADICT5D4F,未定级,无等级,未定级,54405.0
嵊州正之道口腔门诊部,91330683MABX3RY469,未定级,无等级,未定级,54418.0
嵊州沈氏眼科医院,523306834714203863,未定级,无等级,未定级,54744.0
嵊州泰康拜博口腔门诊部,91330683327837603M,未定级,无等级,未定级,54422.0
嵊州洁浩口腔门诊部,91330683MACCC2HC7L,未定级,无等级,未定级,54411.0
嵊州洁诚口腔门诊部,91330683MA2D8GKC5L,未定级,无等级,未定级,54398.0
嵊州济德医院,52330683792057944N,未定级,无等级,未定级,54373.0
嵊州海悦口腔门诊部,TE3306833300524820,未定级,无等级,未定级,54510.0
嵊州焱昊医疗门诊部,91330683MADRL16K4J,未定级,无等级,未定级,54753.0
嵊州煜坤堂中医诊所,92330683MAD6F0WA31,未定级,无等级,未定级,54752.0
嵊州莲堂中医门诊部,52330683MJ956192X8,未定级,无等级,未定级,54503.0
嵊州赵凯军中医诊所,92330683MA2BFMEH00,未定级,无等级,未定级,54382.0
嵊州越剧艺术学校卫生室,TE3306833300522010,未定级,无等级,未定级,54577.0
嵊州越尚口腔门诊部,91330683MA2BEK5M37,未定级,无等级,未定级,54500.0
嵊州越欣口腔门诊部,91330683MA2BGA7F2P,未定级,无等级,未定级,54512.0
嵊州邦尔骨科医院,91330683MA288MKP31,未定级,无等级,未定级,54381.0
嵊州郎中堂中医门诊部,52330683323466737Q,未定级,无等级,未定级,54700.0
嵊州镁莱口腔门诊部,91330683MA2JQ4BY98,未定级,无等级,未定级,54380.0
嵊州高版口腔门诊部,92330683MA29BKXJ9F,未定级,无等级,未定级,54703.0
嵊州鼎植口腔门诊部,91330683MA289HR72A,未定级,无等级,未定级,54391.0
嵊泗中学医务室,12330922472230007X,未定级,无等级,未定级,62805.0
嵊泗县中医院,12330922472230314N,未定级,无等级,未定级,62813.0
嵊泗县五龙乡卫生院,123309224722303000,未定级,无等级,未定级,62794.0
嵊泗县人民医院马迹山港区医疗站,TE3309223300277360,未定级,无等级,未定级,62817.0
嵊泗县初级中学医务室,12330922472230277G,未定级,无等级,未定级,62793.0
嵊泗县妇幼健康服务中心,123309224722304618,未定级,无等级,未定级,62792.0
嵊泗县嵊山镇壁下村卫生室,12333092247230322H,未定级,无等级,未定级,62798.0
嵊泗县枸杞乡卫生院,123309224722304100,未定级,无等级,未定级,62808.0
嵊泗县枸杞乡里西村卫生室,TE3309223300275420,未定级,无等级,未定级,62807.0
嵊泗县枸杞乡龙泉村卫生站,TE3309223300271600,未定级,无等级,未定级,62797.0
嵊泗县洋山中心卫生院,12330922472230429W,未定级,无等级,未定级,62804.0
嵊泗县职教中心医务室,12330922472230015Q,未定级,无等级,未定级,62809.0
嵊泗县花鸟乡卫生院,1233092247223039XC,未定级,无等级,未定级,62803.0
嵊泗县花鸟乡灯塔村卫生室,TE3309223300277420,未定级,无等级,未定级,62799.0
嵊泗县菜园镇关岙村卫生室,12330922472230306U,未定级,无等级,二级,62800.0
嵊泗县菜园镇卫生院,12330922472230373R,未定级,无等级,未定级,62802.0
嵊泗县菜园镇基湖村卫生站,TE3309223300276660,未定级,无等级,未定级,62814.0
嵊泗县菜园镇基湖村第一卫生室,TE3309223300274760,未定级,无等级,未定级,62815.0
嵊泗县菜园镇石柱村卫生室,TE3309223300271980,未定级,无等级,未定级,62801.0
嵊泗县菜园镇高场湾村卫生室,TE3309223300275950,未定级,无等级,未定级,62816.0
嵊泗县黄龙乡北岙村卫生室,12330922472230365Y,未定级,无等级,未定级,62811.0
嵊泗县黄龙乡卫生院,TE3309223300276310,未定级,无等级,未定级,62810.0
嵊泗思曼尔口腔门诊部,TE3309223300487180,未定级,无等级,未定级,62806.0
嵊泗海星中学医务室,12330922472230023K,未定级,无等级,未定级,62812.0
嵊泗金沙海阳护理站,91330922MA2A33J64D,未定级,无等级,未定级,62795.0
嵊泗青沙海阳护理院,91330922MA2A33J56J,未定级,无等级,未定级,62796.0
常山元贞堂健康管理有限公司中医诊所,91330822MA7DRBUR0D,未定级,无等级,未定级,61109.0
常山县三衢石林景区医务室,TE3308223300394650,未定级,无等级,未定级,61005.0
常山县东案乡万安村曾军荣卫生室,TE3308223300305170,未定级,无等级,未定级,60971.0
常山县东案乡万安村马华庆卫生室,TE3308223300300460,未定级,无等级,未定级,60973.0
常山县东案乡东案村卫生室,TE3308223300304980,未定级,无等级,未定级,60974.0
常山县东案乡卫生院,12330822471971209C,未定级,无等级,无级别,60926.0
常山县东案乡朝阳村卫生室,TE3308223300299280,未定级,无等级,未定级,60972.0
常山县东案乡梅树底村卫生室,54330822ME02127922,未定级,无等级,未定级,60975.0
常山县东案乡田蓬村卫生室（院办）,54330822ME021283X5,未定级,无等级,未定级,60977.0
常山县东案乡金源村卫生室,TE3308223300452450,未定级,无等级,未定级,61060.0
常山县何家乡中心卫生院,123308224719712845,未定级,无等级,未定级,60994.0
常山县何家乡何家村卫生室,TE3308223300303300,未定级,无等级,未定级,61028.0
常山县何家乡双安村卫生室,TE3308223300298750,未定级,无等级,未定级,61027.0
常山县何家乡樊家村卫生室,TE3308223300305250,未定级,无等级,未定级,61023.0
常山县何家乡江源村卫生室,TE3308223300300000,未定级,无等级,未定级,61025.0
常山县何家乡钱塘村卫生室,TE3308223300303170,未定级,无等级,未定级,61026.0
常山县何家乡长风村溪东卫生室,TE3308223300306470,未定级,无等级,未定级,61022.0
常山县何家乡黄冈村卫生室,TE3308223300300860,未定级,无等级,未定级,61024.0
常山县医药有限公司医务室,TE3308223300301540,未定级,无等级,未定级,61010.0
常山县同弓乡中和村卫生室,123308224719712177,无级别,无级别,未定级,60981.0
常山县同弓乡关庄村卫生室,TE3308223300300850,未定级,无等级,未定级,61009.0
常山县城东中学医务室,12330822471970820D,未定级,无等级,未定级,60931.0
常山县城关中学医务室,12330822471971735F,未定级,无等级,未定级,61021.0
常山县城南中学医务室,TE3308223300433030,未定级,无等级,未定级,61049.0
常山县大桥头乡卫生院,1233082247197141XN,未定级,无等级,未定级,60927.0
常山县天马一小医务室,12330822471970775C,未定级,无等级,未定级,60991.0
常山县天马街道五联村卫生室,TE3308223300302380,未定级,无等级,未定级,60946.0
常山县天马街道和平村袁青口村卫生室,TE3308223300298610,未定级,无等级,未定级,60945.0
常山县天马街道季村卫生室,TE3308223300343200,未定级,无等级,未定级,60935.0
常山县天马街道社区卫生服务中心,12330822471971372K,未定级,无等级,无级别,60914.0
常山县天马街道蒲塘村卫生室,TE3308223300303520,未定级,无等级,未定级,60934.0
常山县实验中学医务室,TE3308223300299790,未定级,无等级,未定级,60921.0
常山县实验小学医务室,12330822471970468K,未定级,无等级,未定级,60990.0
常山县招贤镇中心卫生院,12330822471971305M,未定级,无等级,未定级,60925.0
常山县招贤镇五里村卫生室（1）,TE3308223300296160,未定级,无等级,未定级,60957.0
常山县招贤镇古县畈村卫生室,TE3308223300299170,未定级,无等级,未定级,60958.0
常山县招贤镇大弄村卫生室,TE3308223300303450,未定级,无等级,未定级,60969.0
常山县招贤镇大溪沿村卫生室,TE3308223300300140,未定级,无等级,未定级,60970.0
常山县招贤镇山底村卫生室（2）,TE3308223300303180,未定级,无等级,未定级,60960.0
常山县招贤镇招贤村卫生室,TE3308223300301820,未定级,无等级,未定级,60963.0
常山县招贤镇樊村卫生室,TE3308223300293780,未定级,无等级,未定级,60962.0
常山县招贤镇汪家淤村卫生室,TE3308223300300150,未定级,无等级,未定级,60967.0
常山县招贤镇沙帽山村卫生室,TE3308223300301280,未定级,无等级,未定级,60968.0
常山县招贤镇泉目山村卫生室,TE3308223300298120,未定级,无等级,未定级,60964.0
常山县招贤镇溪上村卫生室,TE3308223300302940,未定级,无等级,未定级,60961.0
常山县招贤镇鲁士村卫生室,TE3308223300296120,未定级,无等级,未定级,60959.0
常山县新昌乡卫生院,12330822471971313G,未定级,无等级,无级别,61000.0
常山县新昌乡岩前村卫生室,TE3308223300306360,未定级,无等级,未定级,61053.0
常山县新昌乡彤坑村卫生室1,TE3308223300304600,未定级,无等级,未定级,61054.0
常山县新昌乡彤坑村卫生室2,TE3308223300305540,未定级,无等级,未定级,61038.0
常山县新昌乡新昌村卫生室,TE3308223300303370,未定级,无等级,未定级,61040.0
常山县新昌乡西源村村卫生室,TE3308223300514620,未定级,无等级,未定级,61039.0
常山县新昌乡郭塘村卫生室,TE3308223300305460,未定级,无等级,未定级,61041.0
常山县新都办事处新建村卫生室,TE3308223300298930,未定级,无等级,未定级,60938.0
常山县球川镇三溪村卫生室（院办）,54330822ME0211976G,未定级,无等级,未定级,61015.0
常山县球川镇上安村卫生室,TE3308223300301620,未定级,无等级,未定级,61058.0
常山县球川镇东坑村卫生室,54330822ME0211861A,未定级,无等级,未定级,61014.0
常山县球川镇中心卫生院,12330822471971196N,未定级,无等级,无级别,60993.0
常山县球川镇九都村卫生室,TE3308223300299890,未定级,无等级,未定级,61056.0
常山县球川镇新民村卫生室,TE3308223300301430,未定级,无等级,未定级,61017.0
常山县球川镇棋盘山村卫生室,TE3308223300301240,未定级,无等级,未定级,61016.0
常山县球川镇沙安村卫生室,TE3308223300304650,未定级,无等级,未定级,61011.0
常山县球川镇球川村卫生室,TE3308223300295450,未定级,无等级,未定级,61012.0
常山县球川镇红旗岗5区卫生室,TE3308223300306430,未定级,无等级,未定级,61057.0
常山县球川镇芙蓉村卫生室,TE3308223300302470,未定级,无等级,未定级,60980.0
常山县球川镇馒头山村卫生室,TE3308223300296900,未定级,无等级,未定级,61018.0
常山县球川镇黄泥畈村村卫生室,TE3308223300520230,未定级,无等级,未定级,61020.0
常山县疾病预防控制中心（常山县卫生监督所）,TE3308223300298550,未定级,无等级,未定级,60932.0
常山县白石镇中心卫生院,12330822471971364Q,未定级,无等级,未定级,60956.0
常山县白石镇十八里村卫生室,TE3308223300298370,未定级,无等级,未定级,61046.0
常山县白石镇小白石村卫生室,TE3308223300305740,未定级,无等级,未定级,61043.0
常山县白石镇新塘岭村卫生室,TE3308223300299870,未定级,无等级,未定级,61047.0
常山县白石镇草坪村吴植群卫生室,330902197504120015,未定级,无等级,未定级,61044.0
常山县监管场所卫生所,TE3308223300304710,未定级,无等级,未定级,60930.0
常山县第一中学医务室,123308224719705562,未定级,无等级,未定级,61050.0
常山县紫港中学医务室,12330822796485671E,未定级,无等级,未定级,60992.0
常山县紫港街道外港村卫生室,TE3308223300304840,未定级,无等级,未定级,60944.0
常山县紫港街道姜家堡村卫生室,TE3308223300297200,未定级,无等级,未定级,60941.0
常山县紫港街道富足山村卫生室,TE3308223300295440,未定级,无等级,未定级,60942.0
常山县芳村镇上牛角村卫生室,TE3308223300296370,未定级,无等级,未定级,60951.0
常山县芳村镇中心卫生院,12330822471971356X,一级,一级,无级别,60937.0
常山县芳村镇前进村卫生室,TE3308223300299310,未定级,无等级,未定级,60955.0
常山县芳村镇园区新村卫生室,TE3308223300300060,未定级,无等级,未定级,60953.0
常山县芳村镇新桥卫生院,123308224719712252,未定级,无等级,无级别,61029.0
常山县芳村镇洁湖村卫生室,TE3308223300301180,未定级,无等级,未定级,60952.0
常山县芳村镇芙蓉湖村金川卫生室,TE3308223300303680,未定级,无等级,未定级,60954.0
常山县辉埠镇上宋畈村卫生室,TE3308223300301010,未定级,无等级,未定级,61006.0
常山县辉埠镇上辉埠村卫生室,TE3308223300297070,未定级,无等级,未定级,61030.0
常山县辉埠镇东鲁村卫生室,TE3308223300306090,未定级,无等级,未定级,61008.0
常山县辉埠镇卫生院,123308224719712920,未定级,无等级,无级别,61001.0
常山县辉埠镇大埂村卫生室（1）,TE3308223300303500,未定级,无等级,未定级,61032.0
常山县辉埠镇宋畈卫生院,12330822471971276A,未定级,无等级,无级别,60978.0
常山县辉埠镇山背村卫生室,TE3308223300301390,未定级,无等级,未定级,61034.0
常山县辉埠镇山背村卫生室（3）,TE3308223300302510,未定级,无等级,未定级,61036.0
常山县辉埠镇灵湖村卫生室,TE3308223300304230,未定级,无等级,未定级,61037.0
常山县辉埠镇灵湖村卫生室（1）,TE3308223300304740,未定级,无等级,未定级,61033.0
常山县辉埠镇西坞村卫生室,TE3308223300306480,未定级,无等级,未定级,61035.0
常山县辉埠镇高峰村卫生室,TE3308223300306680,未定级,无等级,未定级,61031.0
常山县金川街道十五里村卫生室1,TE3308223300296680,未定级,无等级,未定级,60936.0
常山县金川街道十里山村村卫生室,TE3308223300528680,未定级,无等级,未定级,60943.0
常山县金川街道徐村卫生室,TE3308223300298480,未定级,无等级,未定级,60939.0
常山县金川街道社区卫生服务中心,12330822MB0709677M,未定级,无等级,未定级,60917.0
常山县青石镇九龙山村卫生室,TE3308223300304950,未定级,无等级,未定级,60999.0
常山县青石镇卫生院,12330822471971399B,未定级,无等级,未定级,60923.0
常山县青石镇塘边村卫生室,TE3308223300306610,未定级,无等级,未定级,60987.0
常山县青石镇大塘后村卫生室,54330822ME02123890,未定级,无等级,未定级,60995.0
常山县青石镇山头村卫生室,TE3308223300306280,未定级,无等级,未定级,60989.0
常山县青石镇山溪边村卫生室1,TE3308223300303800,未定级,无等级,未定级,60983.0
常山县青石镇桥亭村中心卫生室,TE3308223300306120,未定级,无等级,未定级,60998.0
常山县青石镇水南村卫生室,TE3308223300303200,未定级,无等级,未定级,61004.0
常山县青石镇湖头村卫生室,TE3308223300298790,未定级,无等级,未定级,60986.0
常山县青石镇湖头村湖边卫生室,TE3308223300303560,未定级,无等级,未定级,60984.0
常山县青石镇湖边村卫生室2,TE3308223300294780,未定级,无等级,未定级,60982.0
常山县青石镇砚瓦山村卫生室,54330822ME02123628,未定级,无等级,未定级,60997.0
常山县青石镇苗山头村卫生室,TE3308223300296660,未定级,无等级,未定级,60985.0
常山县青石镇虹桥村卫生室,TE3308223300303350,未定级,无等级,未定级,60988.0
常山县青石镇阁底卫生院,12330822MB1F4210XD,未定级,无等级,无级别,60919.0
常山县青石镇飞碓村卫生室,54330822ME0212397T,未定级,无等级,未定级,61002.0
常山县青石镇马车村卫生室,54330822ME0212418B,未定级,无等级,未定级,60996.0
常山可恩口腔门诊部,91330822MA2DG5XW5B,未定级,无等级,未定级,60915.0
常山广继堂中医诊所,TE3308223300499910,未定级,无等级,未定级,61110.0
常山恒德医院,52330822766427892L,未定级,无等级,未定级,61051.0
常山瑞和中医诊所,91330822MADP248M6A,未定级,无等级,未定级,61064.0
常山第二医院,TE3308223300510940,未定级,无等级,未定级,61076.0
常杰口腔门诊部,92330402MA2F2G9L8C,未定级,无等级,未定级,50910.0
平湖世嘉口腔门诊部,92330482MA2BCN3H7E,未定级,无等级,未定级,51364.0
平湖中学医务室,TE3304823300386670,未定级,无等级,未定级,51393.0
平湖九如城养老院有限责任公司医务室,91330482MA2JE0KNX8,未定级,无等级,未定级,51370.0
平湖市乍浦镇中山长丰社区卫生服务站,TE3304823300386110,未定级,无等级,未定级,51465.0
平湖市乍浦镇九龙山村卫生室,TE3304823300610924,未定级,无等级,未定级,51461.0
平湖市乍浦镇养老服务中心医务室,12330482565887358Y,未定级,无等级,未定级,51496.0
平湖市乍浦镇南湾村卫生室,TE3304823300386360,未定级,无等级,未定级,51464.0
平湖市乍浦镇天妃村卫生室,TE3304823300386370,未定级,无等级,未定级,51466.0
平湖市乍浦镇港龙村卫生室,TE3304823300385610,未定级,无等级,未定级,51462.0
平湖市乍浦镇雅山中路社区卫生服务站,TE3304823300491430,未定级,无等级,未定级,51479.0
平湖市乍浦镇雅山村卫生室,TE3304823300386250,未定级,无等级,未定级,51480.0
平湖市乍浦镇马家荡村卫生室,TE3304823300385770,未定级,无等级,未定级,51460.0
平湖市乍浦镇龙湫黄山村卫生室,TE3304823300535910,未定级,无等级,未定级,51463.0
平湖市妇幼保健院,123304824711412137,未定级,无等级,未定级,51391.0
平湖市广陈镇三兴村卫生室,TE3304823300385120,未定级,无等级,未定级,51432.0
平湖市广陈镇三红村卫生室,TE3304823300386440,未定级,无等级,未定级,51435.0
平湖市广陈镇前港村卫生室,TE3304823300385840,未定级,无等级,未定级,51431.0
平湖市广陈镇山塘村卫生室,TE3304823300386650,未定级,无等级,未定级,51429.0
平湖市广陈镇曹港村卫生室,TE3304823300385500,未定级,无等级,未定级,51433.0
平湖市广陈镇民主村卫生室,TE3304823300386150,未定级,无等级,未定级,51436.0
平湖市广陈镇泗泾村卫生室,TE3304823300384820,未定级,无等级,未定级,51430.0
平湖市广陈镇高新村卫生室,TE3304823300385260,未定级,无等级,未定级,51434.0
平湖市广陈镇龙兴村卫生室,TE3304823300384830,未定级,无等级,未定级,51427.0
平湖市广陈镇龙萌村卫生室,TE3304823300385230,未定级,无等级,未定级,51428.0
平湖市当湖中心医院,12330482471141715R,未定级,无等级,未定级,51447.0
平湖市当湖街道三北村卫生室,TE3304823300385290,未定级,无等级,未定级,51443.0
平湖市当湖街道塘桥村卫生室,TE3304823300509230,未定级,无等级,未定级,51448.0
平湖市当湖街道社区卫生服务中心三港新城社区卫生服务站,TE3304823300475700,未定级,无等级,未定级,51444.0
平湖市当湖街道社区卫生服务中心东升社区卫生服务站,TE3304823300385020,未定级,无等级,未定级,51450.0
平湖市当湖街道社区卫生服务中心东方社区卫生服务站,TE3304823300635172,未定级,无等级,未定级,51438.0
平湖市当湖街道社区卫生服务中心东湖社区卫生服务站,TE3304823300605491,未定级,无等级,未定级,51440.0
平湖市当湖街道社区卫生服务中心凤凰社区卫生服务站,TE3304823300582900,未定级,无等级,未定级,51457.0
平湖市当湖街道社区卫生服务中心华家社区卫生服务站,TE3304823300385550,未定级,无等级,未定级,51437.0
平湖市当湖街道社区卫生服务中心南河头百花社区卫生服务站,TE3304823300385360,未定级,无等级,未定级,51452.0
平湖市当湖街道社区卫生服务中心启元社区卫生服务站,TE3304823300551590,未定级,无等级,未定级,51439.0
平湖市当湖街道社区卫生服务中心园丁小区社区卫生服务站,TE3304823300385150,未定级,无等级,未定级,51454.0
平湖市当湖街道社区卫生服务中心如意社区卫生服务站,TE3304823300384840,未定级,无等级,未定级,51459.0
平湖市当湖街道社区卫生服务中心当湖桥社区卫生服务站,TE3304823300385810,未定级,无等级,未定级,51451.0
平湖市当湖街道社区卫生服务中心松枫社区卫生服务站,TE3304823300385540,未定级,无等级,未定级,51441.0
平湖市当湖街道社区卫生服务中心梅园小区社区卫生服务站,TE3304823300384800,未定级,无等级,未定级,51456.0
平湖市当湖街道社区卫生服务中心永丰社区卫生服务站,TE3304823300385070,未定级,无等级,未定级,51453.0
平湖市当湖街道社区卫生服务中心沐阳社区卫生服务站,TE3304823300579763,未定级,无等级,未定级,51337.0
平湖市当湖街道社区卫生服务中心滨湖社区卫生服务站,TE3304823300385730,未定级,无等级,未定级,51455.0
平湖市当湖街道虹霓村卫生室,TE3304823300385960,未定级,无等级,未定级,51458.0
平湖市当湖街道通界村卫生室,TE3304823300385160,未定级,无等级,未定级,51449.0
平湖市当湖街道金家村卫生室,TE3304823300385130,未定级,无等级,未定级,51446.0
平湖市当湖街道钱家村卫生室,TE3304823300469940,未定级,无等级,未定级,51442.0
平湖市当湖街道黄家浜村卫生室,TE3304823300384850,未定级,无等级,未定级,51445.0
